site_name,lat,lon
nwis_02245260,29.72969147,-81.4867442
nwis_05082500,47.9269234,-97.0292435
nwis_02244040,29.5963582,-81.683138
nwis_02162035,34.0483333,-81.0733333
nwis_040851385,44.5286111,-88.01
nwis_072632966,34.87527778,-92.6538889
nwis_02110701,33.86100349,-79.0411471
nwis_06892513,39.02916667,-94.8172222
nwis_06805500,41.01527778,-96.1577778
nwis_11455165,38.29166667,-121.6308333
nwis_03301940,38.1503466,-85.6935714
nwis_03259813,39.15,-84.5475
nwis_07241520,35.5656147,-97.367258
nwis_07241000,35.47866848,-97.6633752
nwis_03061000,39.42230818,-80.2759187
nwis_04087119,43.0438333,-88.0051111
nwis_040871488,42.9897222,-87.9519444
nwis_04095090,41.62225939,-87.1758685
nwis_07239450,35.6169933,-98.0653316
nwis_04040000,46.7207742,-89.207086
nwis_11128500,34.58498706,-120.1445926
nwis_03073000,39.92313056,-80.072558
nwis_02110400,33.953505,-78.71973988
nwis_08068500,30.11049517,-95.4363275
nwis_11447650,38.45601954,-121.5013437
nwis_06800500,41.2933333,-96.2838889
nwis_03302030,38.05423677,-85.8716296
nwis_04085108,44.37194444,-88.0922222
nwis_06436760,44.65265259,-103.366697
nwis_07106000,38.6016647,-104.6702503
nwis_03298300,38.08756629,-85.642458
nwis_05057200,47.2291562,-98.1248189
nwis_01480617,39.9617734,-75.8013341
nwis_03294570,38.07812588,-85.8899635
nwis_03302000,38.1197916,-85.7957955
nwis_06465500,42.7397222,-98.2227778
nwis_03298200,38.08534216,-85.5549556
nwis_07191222,36.35535924,-94.7763388
nwis_03374100,38.4897695,-87.55002269
nwis_01193050,41.5417656,-72.5531454
nwis_03302050,38.0478476,-85.8571848
nwis_11285500,37.8783333,-120.2947222
nwis_04067500,45.3258333,-87.6633333
nwis_05451080,42.5436111,-93.5894444
nwis_08317400,35.618,-106.3239444
nwis_03106000,40.8170092,-80.2422837
nwis_01196500,41.45026389,-72.841275
nwis_06336000,46.91945839,-103.5282426
nwis_04195500,41.449496,-83.3613156
nwis_13013650,43.65405556,-110.7154722
nwis_01382210,41.0397222,-74.5016667
nwis_03292480,38.31256909,-85.6257947
nwis_04027000,46.4866144,-90.696297
nwis_14302480,45.4462181,-123.7103974
nwis_07241550,35.5003412,-97.1939194
nwis_03298000,38.18840166,-85.460235
nwis_06818000,39.75325,-94.8568333
nwis_03259757,39.16305556,-84.5575
nwis_01540500,40.95814218,-76.6191222
nwis_02236125,29.16692445,-81.5220157
nwis_14151000,43.94429299,-122.774794
nwis_05054000,46.861075,-96.7836924
nwis_05451210,42.3150833,-93.1520556
nwis_01549700,41.273683,-77.32414028
nwis_01570500,40.25481164,-76.8860846
nwis_03293530,38.27645917,-85.693573
nwis_01632900,38.69345016,-78.6427935
nwis_08052700,33.28344977,-96.8927805
nwis_04188496,40.9792203,-83.6532653
nwis_13207500,43.73194444,-116.3041667
nwis_07332620,33.6822222,-95.9844444
nwis_12101100,47.2381564,-122.2281746
nwis_03219500,40.4195042,-83.1971372
nwis_08447300,30.314,-101.7415556
nwis_02266200,28.38500749,-81.6164632
nwis_01611500,39.5823158,-78.3097312
nwis_06934500,38.70980556,-91.4385
nwis_03034000,40.93923105,-79.00836738
nwis_03105500,40.88867389,-80.3370083
nwis_02264100,28.32528785,-81.5206284
nwis_14211720,45.5175,-122.6691667
nwis_03292474,38.2759036,-85.606072
nwis_04208000,41.39533087,-81.6298478
nwis_03297900,38.28534776,-85.4674592
nwis_06461500,42.9022222,-100.3622222
nwis_06670500,42.20052277,-104.5382908
nwis_03298250,38.0792321,-85.6160683
nwis_04059500,45.7549674,-87.2020793
nwis_03121850,40.59728465,-81.3590012
nwis_01567000,40.47841677,-77.1291484
nwis_02336300,33.82030556,-84.40763889
nwis_03083500,40.2402222,-79.8066944
nwis_03292470,38.36173418,-85.5749608
nwis_08057000,32.7748517,-96.8219464
nwis_01487150,38.6914722,-75.63488889
nwis_11465240,38.65324355,-122.9272191
nwis_05418400,42.1643333,-90.7293333
nwis_14202650,45.44064167,-123.125
nwis_03298150,38.16006729,-85.5421797
nwis_03597860,35.48290044,-86.4625967
nwis_06795500,41.5261111,-97.2816667
nwis_11126000,34.5891552,-119.9887532
nwis_05524500,40.87059306,-87.3066912
nwis_04108660,42.65085976,-86.106703
nwis_11463682,38.65824247,-122.8294376
nwis_03025500,41.3895027,-79.8203322
nwis_05420500,41.78058635,-90.252073
nwis_03007800,41.81867578,-78.29279129
nwis_07075250,35.54705,-92.7076667
nwis_14210000,45.29984346,-122.3539746
nwis_14301500,45.47593996,-123.7251209
nwis_01654000,38.81289066,-77.2283158
nwis_02110704,33.8329481,-79.0436473
nwis_03075070,40.26229225,-79.9011597
nwis_04213152,42.07388889,-80.2347222
nwis_03321500,37.8583774,-87.4097294
nwis_01544500,41.4758994,-77.8258251
nwis_05595000,38.3197222,-89.8886111
nwis_07374000,30.44566667,-91.1915556
nwis_02264000,28.39056323,-81.5195173
nwis_03301900,38.1756242,-85.615237
nwis_05406500,43.13416667,-89.7322222
nwis_07075270,35.5697222,-92.6219444
nwis_06893970,39.08833866,-94.3435605
nwis_07198000,35.5731511,-95.0688458
nwis_04136900,44.61279117,-83.83776619
nwis_07177500,36.27842534,-95.954162
nwis_02336728,33.74344087,-84.5682657
nwis_01493112,39.25705556,-75.94013889
nwis_04142000,44.0725203,-84.0199939
nwis_01542500,41.11755906,-78.108896
nwis_05057000,47.43277097,-98.0275954
nwis_07263296,34.87888889,-92.6855556
nwis_04101500,41.8292138,-86.2597325
nwis_08057410,32.70763139,-96.7358319
nwis_08065350,31.33851319,-95.6563407
nwis_02217643,34.1620583,-83.5250944
nwis_03058000,39.00452778,-80.4733611
nwis_05579630,40.4583333,-88.8775
nwis_03228300,40.2361735,-82.8512892
nwis_14211010,45.3792874,-122.5773134
nwis_01649500,38.96025,-76.9259722
nwis_11273400,37.3472151,-120.9761777
nwis_03081000,39.8275767,-79.3725353
nwis_01201487,41.4658222,-73.40320278
nwis_02234500,28.83804694,-81.3242323
nwis_01658000,38.59613889,-77.05602778
nwis_04199500,41.38199,-82.3168273
nwis_03298135,38.19479109,-85.557181
nwis_03353200,39.94642897,-86.2602702
nwis_05447500,41.48892309,-90.1576186
nwis_02203700,33.6889966,-84.3304798
nwis_04167150,42.3305929,-83.2479841
